Id;URI;Thesaurus;Instrument Family;Instrument Group;Instrument;Synonyms;URI Wikipedia;Remarks
LEXICON_00002469;http://www.mimo-db.eu/InstrumentsKeywords/2469;;;;Crash cymbal;;http://en.wikipedia.org/wiki/Crash_cymbal;
LEXICON_00002470;http://www.mimo-db.eu/InstrumentsKeywords/2470;;;;Crotales;Crotale;http://en.wikipedia.org/wiki/Crotales;
LEXICON_00002471;http://www.mimo-db.eu/InstrumentsKeywords/2471;;;;Cymbals;;http://en.wikipedia.org/wiki/Cymbals;
LEXICON_00002472;http://www.mimo-db.eu/InstrumentsKeywords/2472;;;;Dobatsu;"Hachi;Nihoihagi;Nyoohachi";;
LEXICON_00002475;http://www.mimo-db.eu/InstrumentsKeywords/2475;;;;Kartal;;http://en.wikipedia.org/wiki/Khartal;A vérifier (Khartal ?)
LEXICON_00002476;http://www.mimo-db.eu/InstrumentsKeywords/2476;;;;Kasat;Kass;;
LEXICON_00002478;http://www.mimo-db.eu/InstrumentsKeywords/2478;;;;Manjira;;http://en.wikipedia.org/wiki/Manjira;
LEXICON_00002479;http://www.mimo-db.eu/InstrumentsKeywords/2479;;;;Rol-mo;;;
LEXICON_00002480;http://www.mimo-db.eu/InstrumentsKeywords/2480;;;;Sajat;Sagat;http://en.wikipedia.org/wiki/Zill;A vérifier
LEXICON_00002482;http://www.mimo-db.eu/InstrumentsKeywords/2482;;;;Sanj;Zinj;http://en.wikipedia.org/wiki/Sanj;
LEXICON_00002484;http://www.mimo-db.eu/InstrumentsKeywords/2484;;;;Sbub-chal;"Sbug-chal;Sbug-chol";;
LEXICON_00002487;http://www.mimo-db.eu/InstrumentsKeywords/2487;;;;Sil-snyan;Silnyen;http://en.wikipedia.org/wiki/Silnyen;synonyme
LEXICON_00002488;http://www.mimo-db.eu/InstrumentsKeywords/2488;;;;Sizzle cymbal;;http://en.wikipedia.org/wiki/Sizzle_cymbal;
LEXICON_00002489;http://www.mimo-db.eu/InstrumentsKeywords/2489;;;;Sock cymbal;;;
LEXICON_00002490;http://www.mimo-db.eu/InstrumentsKeywords/2490;;;;Ting-ting shags;"Tingsha;Ting-shags;Tin-tin-sags";http://en.wikipedia.org/wiki/Tingsha;
LEXICON_00002492;http://www.mimo-db.eu/InstrumentsKeywords/2492;;;;Zil;;http://en.wikipedia.org/wiki/Zil_(instrument);A vérifier
LEXICON_00004880;http://www.mimo-db.eu/InstrumentsKeywords/4880;;;;Mandira;;;
LEXICON_00004930;http://www.mimo-db.eu/InstrumentsKeywords/4930;;;;Dobachi;;;
LEXICON_00005242;http://www.mimo-db.eu/InstrumentsKeywords/5242;;;;Jhalica;;;
LEXICON_00005243;http://www.mimo-db.eu/InstrumentsKeywords/5243;;;;Kangsi;;;
LEXICON_00005334;http://www.mimo-db.eu/InstrumentsKeywords/5334;;;;Rincik;"Ceng-ceng;Tjé tjé";;
LEXICON_00005351;http://www.mimo-db.eu/InstrumentsKeywords/5351;;;;Sichyah;;;
LEXICON_00005365;http://www.mimo-db.eu/InstrumentsKeywords/5365;;;;Tah;;;
LEXICON_00005366;http://www.mimo-db.eu/InstrumentsKeywords/5366;;;;Tahca;;;
LEXICON_00005372;http://www.mimo-db.eu/InstrumentsKeywords/5372;;;;Talam;;;
LEXICON_00005384;http://www.mimo-db.eu/InstrumentsKeywords/5384;;;;Than lvin;;;
LEXICON_00005424;http://www.mimo-db.eu/InstrumentsKeywords/5424;;;;Bhusyah;;http://en.wikipedia.org/wiki/Bhusyah;
LEXICON_00005489;http://www.mimo-db.eu/InstrumentsKeywords/5489;;;;Silnen;;;
LEXICON_00005506;http://www.mimo-db.eu/InstrumentsKeywords/5506;;;;Kecer;Ketjer;http://en.wikipedia.org/wiki/Kecer;
LEXICON_00005639;http://www.mimo-db.eu/InstrumentsKeywords/5639;;;;Zang;;;
LEXICON_00006681;http://www.mimo-db.eu/InstrumentsKeywords/6681;;;;Penzhong;;;
LEXICON_00002493;http://www.mimo-db.eu/InstrumentsKeywords/2493;;;Drums;;;;
LEXICON_00002494;http://www.mimo-db.eu/InstrumentsKeywords/2494;;;;Adufe;;http://en.wikipedia.org/wiki/Adufe;
LEXICON_00002495;http://www.mimo-db.eu/InstrumentsKeywords/2495;;;;Agual;Agwal;;
LEXICON_00002497;http://www.mimo-db.eu/InstrumentsKeywords/2497;;;;Bajiao gu;;;
LEXICON_00002498;http://www.mimo-db.eu/InstrumentsKeywords/2498;;;;Ban;"Bang;Pan";;
LEXICON_00002501;http://www.mimo-db.eu/InstrumentsKeywords/2501;;;;Bangu;"Kou;Pan-ku;Xiaogu";http://en.wikipedia.org/wiki/Bangu_(drum);
LEXICON_00002504;http://www.mimo-db.eu/InstrumentsKeywords/2504;;;;Barrel drum;Barrel shaped drum;http://en.wikipedia.org/wiki/Barrel_drum;
LEXICON_00002506;http://www.mimo-db.eu/InstrumentsKeywords/2506;;;;Bass drum;;http://en.wikipedia.org/wiki/Bass_drum;
LEXICON_00002507;http://www.mimo-db.eu/InstrumentsKeywords/2507;;;;Bata;;http://en.wikipedia.org/wiki/Bata_drum;A vérifier
LEXICON_00002508;http://www.mimo-db.eu/InstrumentsKeywords/2508;;;;Bendir;"Ainza;Bandar;Bendeyr;Bendre;Bindir";http://en.wikipedia.org/wiki/Bendir;
LEXICON_00002514;http://www.mimo-db.eu/InstrumentsKeywords/2514;;;;Bodhran;;http://en.wikipedia.org/wiki/Bodhran;
LEXICON_00002515;http://www.mimo-db.eu/InstrumentsKeywords/2515;;;;Bongos;;http://en.wikipedia.org/wiki/Bongos;
LEXICON_00002516;http://www.mimo-db.eu/InstrumentsKeywords/2516;;;;Bonko;;;
LEXICON_00002517;http://www.mimo-db.eu/InstrumentsKeywords/2517;;;;Bronze drum;;http://en.wikipedia.org/wiki/%C4%90%C3%B4ng_S%C6%A1n_drums;A vérifier
LEXICON_00002518;http://www.mimo-db.eu/InstrumentsKeywords/2518;;;;Buhai;;http://en.wikipedia.org/wiki/Buhai;A vérifier
LEXICON_00002519;http://www.mimo-db.eu/InstrumentsKeywords/2519;;;;Burczybas;;;
LEXICON_00002520;http://www.mimo-db.eu/InstrumentsKeywords/2520;;;;Cajon;;http://en.wikipedia.org/wiki/Cajon;
LEXICON_00002521;http://www.mimo-db.eu/InstrumentsKeywords/2521;;;;Cenda;"Centa;Chenda";http://en.wikipedia.org/wiki/Chenda;synonyme
